learning_rate,max_depth,n_estimators,reg_alpha,subsample,Run,Rmse,rsq
0,0.0001,3,100,0.0001,0.5,0,4.591005747572134,-6.013643159326079
1,0.0001,3,100,0.0001,0.7,1,4.592001767373189,-6.013351814541678
2,0.0001,3,100,0.0001,0.9,2,4.598618759705766,-6.0131918828458355
3,0.0001,3,100,5e-05,0.5,3,4.591005747572134,-6.013643159326079
4,0.0001,3,100,5e-05,0.7,4,4.592001767373189,-6.013351814541678
5,0.0001,3,100,5e-05,0.9,5,4.598618759705766,-6.0131918828458355
6,0.0001,3,100,1e-05,0.5,6,4.591005747572134,-6.013643159326079
7,0.0001,3,100,1e-05,0.7,7,4.592001767373189,-6.013351814541678
8,0.0001,3,100,1e-05,0.9,8,4.598618759705766,-6.0131918828458355
9,0.0001,3,100,1e-06,0.5,9,4.591005747572134,-6.013643159326079
10,0.0001,3,100,1e-06,0.7,10,4.592001767373189,-6.013351814541678
11,0.0001,3,100,1e-06,0.9,11,4.598618759705766,-6.0131918828458355
12,0.0001,3,1000,0.0001,0.5,12,2.3366785016494163,-4.910787962638175
13,0.0001,3,1000,0.0001,0.7,13,2.3374902191212876,-4.908029211377293
14,0.0001,3,1000,0.0001,0.9,14,2.342452806494376,-4.907748281532251
15,0.0001,3,1000,5e-05,0.5,15,2.3366785016494163,-4.910787962638175
16,0.0001,3,1000,5e-05,0.7,16,2.3374902191212876,-4.908029211377293
17,0.0001,3,1000,5e-05,0.9,17,2.342452806494376,-4.907748281532251
18,0.0001,3,1000,1e-05,0.5,18,2.3366785016494163,-4.910787962638175
19,0.0001,3,1000,1e-05,0.7,19,2.3374902191212876,-4.908029211377293
20,0.0001,3,1000,1e-05,0.9,20,2.342452806494376,-4.907748281532251
21,0.0001,3,1000,1e-06,0.5,21,2.3366785016494163,-4.910787962638175
22,0.0001,3,1000,1e-06,0.7,22,2.3374902191212876,-4.908029211377293
23,0.0001,3,1000,1e-06,0.9,23,2.342452806494376,-4.907748281532251
24,0.0001,3,3500,0.0001,0.5,24,1.2076983019216245,-2.689390029359836
25,0.0001,3,3500,0.0001,0.7,25,1.2076767517818887,-2.682768708172551
26,0.0001,3,3500,0.0001,0.9,26,1.210101064864564,-2.6826692756064334
27,0.0001,3,3500,5e-05,0.5,27,1.2076983019216245,-2.689390029359836
28,0.0001,3,3500,5e-05,0.7,28,1.2076767517818887,-2.682768708172551
29,0.0001,3,3500,5e-05,0.9,29,1.210101064864564,-2.6826692756064334
30,0.0001,3,3500,1e-05,0.5,30,1.2076983019216245,-2.689390029359836
31,0.0001,3,3500,1e-05,0.7,31,1.2076767517818887,-2.682768708172551
32,0.0001,3,3500,1e-05,0.9,32,1.210101064864564,-2.6826692756064334
33,0.0001,3,3500,1e-06,0.5,33,1.2076983019216245,-2.689390029359836
34,0.0001,3,3500,1e-06,0.7,34,1.2076767517818887,-2.682768708172551
35,0.0001,3,3500,1e-06,0.9,35,1.210101064864564,-2.6826692756064334
36,0.0001,3,5000,0.0001,0.5,36,0.9234010392748329,-1.790956080059261
37,0.0001,3,5000,0.0001,0.7,37,0.9230497504003651,-1.7829886526787564
38,0.0001,3,5000,0.0001,0.9,38,0.9243079591694014,-1.781520998138506
39,0.0001,3,5000,5e-05,0.5,39,0.9234010392748329,-1.790956080059261
40,0.0001,3,5000,5e-05,0.7,40,0.9230497504003651,-1.7829886526787564
41,0.0001,3,5000,5e-05,0.9,41,0.9243079591694014,-1.781520998138506
42,0.0001,3,5000,1e-05,0.5,42,0.9234010392748329,-1.790956080059261
43,0.0001,3,5000,1e-05,0.7,43,0.9230497504003651,-1.7829886526787564
44,0.0001,3,5000,1e-05,0.9,44,0.9243079591694014,-1.781520998138506
45,0.0001,3,5000,1e-06,0.5,45,0.9234010392748329,-1.790956080059261
46,0.0001,3,5000,1e-06,0.7,46,0.9230497504003651,-1.7829886526787564
47,0.0001,3,5000,1e-06,0.9,47,0.9243079591694014,-1.781520998138506
48,0.0001,4,100,0.0001,0.5,48,4.598695021967702,-6.013479609114354
49,0.0001,4,100,0.0001,0.7,49,4.598996755143354,-6.013008574214177
50,0.0001,4,100,0.0001,0.9,50,4.60312519285692,-6.012536097891948
51,0.0001,4,100,5e-05,0.5,51,4.598695021967702,-6.013479609114354
52,0.0001,4,100,5e-05,0.7,52,4.598996755143354,-6.013008574214177
53,0.0001,4,100,5e-05,0.9,53,4.60312519285692,-6.012536097891948
54,0.0001,4,100,1e-05,0.5,54,4.598695021967702,-6.013479609114354
55,0.0001,4,100,1e-05,0.7,55,4.598996755143354,-6.013008574214177
56,0.0001,4,100,1e-05,0.9,56,4.60312519285692,-6.012536097891948
57,0.0001,4,100,1e-06,0.5,57,4.598695021967702,-6.013479609114354
58,0.0001,4,100,1e-06,0.7,58,4.598996755143354,-6.013008574214177
59,0.0001,4,100,1e-06,0.9,59,4.60312519285692,-6.012536097891948
60,0.0001,4,1000,0.0001,0.5,60,2.3437258497481994,-4.909246984418092
61,0.0001,4,1000,0.0001,0.7,61,2.3442175745412417,-4.905285895211989
62,0.0001,4,1000,0.0001,0.9,62,2.3469114669346576,-4.9018912483034045
63,0.0001,4,1000,5e-05,0.5,63,2.3437258497481994,-4.909246984418092
64,0.0001,4,1000,5e-05,0.7,64,2.3442175745412417,-4.905285895211989
